id	text	author	date
"285586693464145920"	"Photo: It’s Britneyyyyyyy biiiiiiiitch #nature #hanoi #vietnam #day (at Andy’s Den) http://t.co/JoSdcCbs"	"tuananh300392"	"2012-12-31 03:22:28"
"285586680050757635"	"It's Britneyyyyyyy biiiiiiiitch #nature #hanoi #vietnam #day @ Andy's Den http://t.co/nbCaCnZZ"	"tuananh300392"	"2012-12-31 03:22:25"
"285586669279776768"	"23 Tips for taking a toddler on a trip to Vietnam by @DropoutDiaries http://t.co/nBg2wCqO"	"30Traveler"	"2012-12-31 03:22:22"
"285586556696272896"	"RT @rorycooper: MT @BuzzFeedAndrew: Schwarzkopf received Silver Star in Vietnam for personally leading soldiers out of a minefield. http://t.co/u6sIy3wP"	"salmswarlock"	"2012-12-31 03:21:55"
"285586507685842944"	"Waiting for flight from vietnam to kl :)"	"fabianmalroney"	"2012-12-31 03:21:44"
"285586409924984832"	"RT @chuckcomeau: Playing tons of new countries like India, Vietnam, Portugal, Peru, Columbia, Equator, Guatemala, Sick tours in Canada, Australia and Europe"	"QuickestTongue"	"2012-12-31 03:21:20"
"285586396306108418"	"RT @AnimalsAsia: Stop the eviction of Animals Asia's Vietnam sanctuary #27 Italia: http://t.co/f5dL9she http://t.co/mqNTGZas http://t.co/9k4nFmz6"	"vn_aid"	"2012-12-31 03:21:17"
"285586294292221953"	"I leave for 2 weeks in Vietnam on Monday (with quick stops in Hong Kong going to and from). Quick q: will the airplane celebrate New Year's?"	"nyxudisi"	"2012-12-31 03:20:53"
"285586293012959233"	"@partyhardswa @Dillpickles526 @RianSimmonds just like in vietnam....... *wistful sigh*"	"sighyaka"	"2012-12-31 03:20:52"
"285586165422227457"	"My Dad's greatest gift to me 2) this was in 1964.  The Vietnam War news was worse every night. We got into a horrible fight over the war."	"prfekrdumbrella"	"2012-12-31 03:20:22"
"285586163266383873"	"Almost 40 years after the Vietnam War, the DMZ area of Quang Tri is still struggling with the aftermath. http://t.co/UkNy3uvC #Vietnam"	"WordVietnam"	"2012-12-31 03:20:21"
"285586132983480320"	"When You Tell Me That Libtards Didn't Spit On US War Vets Arriving Home From Vietnam You're A Total Liar.  @GoldenEagle Lived It."	"GoldenEagle"	"2012-12-31 03:20:14"
"285586019766661121"	"S.korea Govt had provided comfort women http://t.co/yLVvGZws #Ukraine #Belarus #Thailand #Singapore #Vietnam #Philippines #Peru #Brazil"	"Alert_from_Asia"	"2012-12-31 03:19:47"
"285585818876248065"	"@AshleyLindgren2 there 's others chance for you:)) they had come to Vietnam this year, but i can't meet them:(( so sad, too!"	"Sunshine_VIP"	"2012-12-31 03:18:59"
"285585812425412608"	"@DiaFramps you are my favorite singer in The Voice US. It's great to see you perform in Vietnam. Amazing! Good luck to your future work :)"	"MinhLT92"	"2012-12-31 03:18:58"
"285585657785618432"	"@adamlambert Is the truth that you will go to VietNam ???"	"ilusm_schuyler"	"2012-12-31 03:18:21"
"285585557332041728"	"@ryan__toth give them all Vietnam flashbacks"	"Alery_Zach"	"2012-12-31 03:17:57"
"285585554102444033"	"In other news . . . did you know that Facebook is blocked in Vietnam?"	"drnicomartini"	"2012-12-31 03:17:56"
"285585124433723392"	"Seriously, can someone tell me if there is a cyclone brewing off Vietnam? http://t.co/P0iogufC"	"littlemissmoi"	"2012-12-31 03:16:14"
"285585059178770432"	"RT @yenthanh_mac: It is really heartwarming when hearing that the family of my old patient visit my family in Vietnam today. Be strong on next 2 interviews!"	"aussiecoley"	"2012-12-31 03:15:58"
"285585011187531777"	"#flyfishing in the hood #vietnam #hoian http://t.co/Zp4FYJCe"	"VossieGrenade"	"2012-12-31 03:15:47"
"285584952702140416"	"RT @MRasche27: Its not even new years yet &amp; my neighbors think they are back in vietnam or something lol"	"torii321"	"2012-12-31 03:15:33"
"285584915238641665"	"@MaceTrends Vietnam hollaaa"	"AliceFalkai"	"2012-12-31 03:15:24"
"285584884808949760"	"RT @nickleberry_fin: them combat boots look dumb as shit, this isn't the vietnam war people"	"gmaannnn"	"2012-12-31 03:15:17"
"285584868224684034"	"#Best2012Memories oh and I think she said @anne_quirk4 was responsible for Vietnam or somethin too.. #LT"	"Mohertyyy"	"2012-12-31 03:15:13"
"285584822838108160"	"ADB pledges US$251 million for three projects in Vietnam at http://t.co/z7PUtiCe"	"TalkVietnamBuzz"	"2012-12-31 03:15:02"
"285584758489108481"	"Stop the eviction of Animals Asia's Vietnam sanctuary #27 Italia: http://t.co/f5dL9she http://t.co/mqNTGZas http://t.co/9k4nFmz6"	"AnimalsAsia"	"2012-12-31 03:14:47"
"285584660359151616"	"@markhumphrys Did you just quote Swift Boaters?? Really?? Kerry volunteered for military service and again to serve in Vietnam, yourself?"	"wesinjapan"	"2012-12-31 03:14:23"
"285584660141064192"	"@luke_nguyen seriously one of the biggest dreams I have is to go on one of your amazing Vietnam food tours. 2013 I will make this a reality!"	"foodandtunes"	"2012-12-31 03:14:23"
"285584544873205761"	"RT @AWMemorial: #OnThisDay 1967: 3rd Battalion, Royal Australian Regiment arrives in South Vietnam. 3RAR sailed to Vietnam on HMAS Sydney."	"wadelaube"	"2012-12-31 03:13:56"
"285584501772517376"	"Its not even new years yet &amp; my neighbors think they are back in vietnam or something lol"	"MRasche27"	"2012-12-31 03:13:45"
"285584360080551938"	"#BestMemories2012 Getting SHITFACED in Vietnam with my cousins because I didn't understand Vietnamese &amp; there's no drinking age limit #AYOOO"	"itsd_nny"	"2012-12-31 03:13:12"
"285584353306759168"	"Hahahaha in 2014 ill probably go back to vietnam"	"trangie"	"2012-12-31 03:13:10"
"285584185840783360"	"No wonder we invaded vietnam. Kennedy was going after them gook women"	"whowantslasagna"	"2012-12-31 03:12:30"
"285584044014596097"	"Stunning Pictures Taken Through An Airplane Window - DesignTAXI ...: Ho Chi Minh, Vietnam These days, your first... http://t.co/Rn4FOKmH"	"ShannonGonzale"	"2012-12-31 03:11:56"
"285584032010469376"	"@gtr2200 @ikedanob This is not a thought  but a real  history  and do you know what you Gook did in Vietnam and your own  country?"	"daisukesasayama"	"2012-12-31 03:11:53"
"285583996866424832"	"RT @amnestydk: 10 absurd and unjust arrests of 2012 http://t.co/vwCmEtGP #PussyRiot #Belarus #Bahrain #TeddyBears #AlberSaber #Vietnam"	"pipicacaculo"	"2012-12-31 03:11:45"
"285583958182330368"	"RT @DiaFramps: Thanks for having me Vietnam! http://t.co/pGA4coTg"	"funnysillyTato"	"2012-12-31 03:11:36"
"285583928708984834"	"@markhumphrys @wesinjapan what fascinates me is how we have still not found ways to talk about Iraq and Afghanistan differently than Vietnam"	"killerswan"	"2012-12-31 03:11:29"
"285583863177170944"	"ADB pledges US$251 million for three projects in Vietnam: (VEN) – The Asian Development Bank… http://t.co/1yPPhc9i"	"talkvn"	"2012-12-31 03:11:13"
"285583773393899520"	"It's snowing in Vietnam... Vuuuuuut?!"	"DorkiieRawR"	"2012-12-31 03:10:52"
"285583765345038336"	"RT @corrcomm: Of course. The Left was completely supportive of those who fought in Vietnam. See Jane Fonda. WTF? @UnabashedProg @goldeneagle @exjon"	"Ledamaae"	"2012-12-31 03:10:50"
"285583677541466112"	"@4Pittiessake It really is.  The feeling of a lot of Vietnam vets."	"TracyAChambers"	"2012-12-31 03:10:29"
"285583586369892353"	"VietNam Star Social for #iOS 1.0.0 http://t.co/uV3xe9CS"	"filedir"	"2012-12-31 03:10:07"
"285583564865691649"	"VN: Vietnam vets to hear military historian: Vietnam vets to hear military historian: Dr. Derek Frisby, professor of... http://t.co/BM4qdsBg"	"PairsonnalitesA"	"2012-12-31 03:10:02"
"285583477242486784"	"Korean ridicules Handicapped Persons http://t.co/iddORE18 #Singapore #Vietnam #Philippines #Peru #Brazil #Chilie"	"Alert_from_Asia"	"2012-12-31 03:09:41"
"285583310204321792"	"Exports boost the national economy in 2012 http://t.co/KWeyPQao"	"360websoft"	"2012-12-31 03:09:01"
"285582972336369664"	"Of course. The Left was completely supportive of those who fought in Vietnam. See Jane Fonda. WTF? @UnabashedProg @goldeneagle @exjon"	"corrcomm"	"2012-12-31 03:07:41"
"285582353403883520"	"#OnThisDay 1967: 3rd Battalion, Royal Australian Regiment arrives in South Vietnam. 3RAR sailed to Vietnam on HMAS Sydney."	"AWMemorial"	"2012-12-31 03:05:13"
"285582332403019776"	"RT @nickleberry_fin: them combat boots look dumb as shit, this isn't the vietnam war people"	"johnsim1213"	"2012-12-31 03:05:08"
"285582241587929089"	"@lladabeimos its in Vietnam :)"	"Toanton__"	"2012-12-31 03:04:46"
